Wavelenght	Global Total Spectral Irradiance. tilt 37Deg
1750	0.17
1751	0.16
1752	0.16
1753	0.16
1754	0.16
1755	0.15
1756	0.15
1757	0.16
1758	0.16
1759	0.16
1760	0.16
1761	0.15
1762	0.15
1763	0.14
1764	0.14
1765	0.13
1766	0.13
1767	0.14
1768	0.14
1769	0.14
1770	0.14
1771	0.14
1772	0.13
1773	0.13
1774	0.12
1775	0.11
1776	0.11
1777	0.11
1778	0.11
1779	0.1
1780	0.1
1781	0.1
1782	0.09
1783	0.09
1784	0.08
1785	0.08
1786	0.08
1787	0.08
1788	0.08
1789	0.09
1790	0.09
1791	0.08
1792	0.07
1793	0.06
1794	0.06
1795	0.05
1796	0.04
1797	0.04
1798	0.04
1799	0.03
1800	0.03
1801	0.03
1802	0.03
1803	0.02
1804	0.02
1805	0.01
1806	0.01
1807	0.01
1808	0.01
1809	0.01
1810	0.01
1811	0.01
1812	0.01
1813	0.01
1814	0
1815	0
1816	0
1817	0
1818	0
1819	0
1820	9.88e-4
1821	0
1822	0
1823	0
1824	0
1825	0
1826	0
1827	7.67e-4
1828	5.13e-4
1829	2.59e-4
1830	5.2e-6
1831	5.45e-6
1832	5.69e-6
1833	5.93e-6
1834	6.18e-6
1835	6.42e-6
1836	5.15e-6
1837	3.88e-6
1838	2.61e-6
1839	1.33e-6
1840	6.27e-8
1841	1.3e-6
1842	2.54e-6
1843	3.78e-6
1844	5.03e-6
1845	6.27e-6
1846	5.61e-6
1847	4.96e-6
1848	4.31e-6
1849	3.65e-6
1850	3e-6
1851	2.46e-6
1852	1.91e-6
1853	1.37e-6
1854	8.27e-7
1855	2.84e-7
1856	2.46e-6
1857	4.63e-6
1858	6.8e-6
1859	8.98e-6
1860	1.12e-5
1861	1.23e-5
1862	1.35e-5
1863	1.46e-5
1864	1.58e-5
1865	1.7e-5
1866	1.36e-5
1867	1.02e-5
1868	6.79e-6
1869	3.4e-6
1870	2.67e-10
1871	3.04e-10
1872	3.4e-10
1873	3.77e-10
1874	4.14e-10
1875	4.51e-10
1876	1.55e-5
1877	3.1e-5
1878	4.65e-5
1879	6.2e-5
1880	7.75e-5
1881	7.08e-5
1882	6.41e-5
1883	5.73e-5
1884	5.06e-5
1885	4.39e-5
1886	7.98e-5
1887	1.16e-4
1888	1.52e-4
1889	1.87e-4
1890	2.23e-4
1891	2.05e-4
1892	1.86e-4
1893	1.67e-4
1894	1.48e-4
1895	1.29e-4
1896	1.04e-4
1897	7.8e-5
1898	5.23e-5
1899	2.66e-5
1900	8.62e-7
1901	8.03e-7
1902	7.44e-7
1903	6.85e-7
1904	6.26e-7
1905	5.67e-7
1906	5.06e-6
1907	9.56e-6
1908	1.41e-5
1909	1.85e-5
1910	2.3e-5
1911	2.24e-5
1912	2.18e-5
1913	2.12e-5
1914	2.06e-5
1915	1.99e-5
1916	1.06e-4
1917	1.92e-4
1918	2.78e-4
1919	3.65e-4
1920	4.51e-4
1921	5.48e-4
1922	6.45e-4
1923	7.42e-4
1924	8.39e-4
1925	9.36e-4
1926	8.59e-4
1927	7.83e-4
1928	7.06e-4
1929	6.29e-4
1930	5.52e-4
1931	0
1932	0
1933	0
1934	0
1935	0
1936	0
1937	0
1938	0
1939	0
1940	0
1941	0
1942	0.01
1943	0.01
1944	0.01
1945	0.01
1946	0.01
1947	0.01
1948	0.01
1949	0.02
1950	0.02
1951	0.02
1952	0.01
1953	0.01
1954	0.01
1955	0.01
1956	0.01
1957	0.01
1958	0.02
1959	0.02
1960	0.02
1961	0.02
1962	0.02
1963	0.03
1964	0.03
1965	0.03
1966	0.03
1967	0.04
1968	0.04
1969	0.04
1970	0.05
1971	0.05
1972	0.06
1973	0.06
1974	0.06
1975	0.07
1976	0.07
1977	0.07
1978	0.07
1979	0.07
1980	0.08
1981	0.08
1982	0.08
1983	0.08
1984	0.08
1985	0.08
1986	0.08
1987	0.08
1988	0.08
1989	0.09
1990	0.09
1991	0.08
1992	0.08
1993	0.08
1994	0.08
1995	0.08
1996	0.07
1997	0.06
1998	0.06
1999	0.05
2000	0.04
2001	0.03
2002	0.03
2003	0.02
2004	0.02
2005	0.02
2006	0.02
2007	0.02
2008	0.03
2009	0.03
2010	0.04
2011	0.04
2012	0.03
2013	0.03
2014	0.03
2015	0.03
2016	0.03
2017	0.03
2018	0.04
2019	0.04
2020	0.04
2021	0.05
2022	0.06
2023	0.06
2024	0.07
2025	0.07
2026	0.08
2027	0.08
2028	0.08
2029	0.08
2030	0.08
2031	0.09
2032	0.09
2033	0.09
2034	0.09
2035	0.1
2036	0.1
2037	0.09
2038	0.09
2039	0.09
2040	0.09
2041	0.09
2042	0.09
2043	0.09
2044	0.09
2045	0.09
2046	0.09
2047	0.08
2048	0.08
2049	0.07
2050	0.07
2051	0.07
2052	0.06
2053	0.06
2054	0.06
2055	0.05
2056	0.06
2057	0.06
2058	0.06
2059	0.07
2060	0.07
2061	0.07
2062	0.07
2063	0.06
2064	0.06
2065	0.06
2066	0.06
2067	0.06
2068	0.06
2069	0.06
2070	0.07
2071	0.07
2072	0.07
2073	0.07
2074	0.08
2075	0.08
2076	0.08
2077	0.08
2078	0.08
2079	0.08
2080	0.09
2081	0.09
2082	0.09
2083	0.09
2084	0.09
2085	0.09
2086	0.09
2087	0.09
2088	0.09
2089	0.09
2090	0.09
2091	0.09
2092	0.09
